SampleNumber,ProductionArea,BedId,LocalAuthority,GridReference,SamplingPoint,DateSampleCollected,DateSampleArrivedAtWeymouth,SpeciesSampled,PSP_HPLCScreenResult_Detected_ND,PSP_HPLCResultHighValueCalculatedFromMU,PSPAverageMBAResult,TotalOA_DTXs_PTXsHighValueCalculatedFromMU,TotalAZAsHighValueCalculatedFromMU,TotalYTXsHighValueCalculatedFromMU,DSP_MBAResultPS_NG,DomoicAcid,ActionRequired
BTX/2012/0834,St. Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,2012-04-02,2012-04-03,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2012/0835,Fal,B033Z,Cornwall PHA,SW84073879,T Pontoon,2012-04-02,2012-04-03,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2012/0836,Fal,B033Y,Cornwall PHA,SW85024095,R Pontoon/Tregothnan ,2012-04-02,2012-04-03,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2012/0837,Butley,B009A,Suffolk Coastal DC,TM39704870,Butley Creek ,2012-04-02,2012-04-03,Pacific oysters,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2012/0838,Fal,B33BG,Cornwall PHA,SW82803517,Mylor Pool,2012-04-02,2012-04-03,Native oysters,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2012/0839,Exe,B26AT,East Devon DC,SX99698050,Beacon Point,2012-04-02,2012-04-03,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2012/0840,Exe,B026E,Teignbridge DC,SX97788091,Pool,2012-04-02,2012-04-03,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2012/0841,Teign,B027G,Teignbridge DC,SX9272972839,Gas Works ,2012-04-02,2012-04-03,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2012/0842,Southampton Water,B021U,Southampton PHA,SU44640845,Near Netley Castle,2012-04-02,2012-04-03,Manila clams,ND,,,,,,NG,<LOQ,
BTX/2012/0845,Portland,B25AA,Weymouth PHA,SY6925477458,Lyme Bay Shellfish,2012-04-03,2012-04-03,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2012/0876,St Ives Bay,B088G,Cornwall PHA,SW54323928,St Ives Central,2012-04-03,2012-04-04,Razors,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2012/0877,Blakeney,B006R,North Norfolk DC,TF91814545,Wells - The Pool,2012-04-03,2012-04-04,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2012/0878,Colwyn Bay,B069A,Conwy CBC,SH83208150,Rhos-on-Sea ,2012-04-03,2012-04-04,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2012/0913,Milford Haven,B39CO,Pembrokeshire CC,SM88770325,Sawdern Point,2012-04-09,2012-04-11,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2012/0914,Milford Haven,B39CM,Pembrokeshire CC,SN010062,Lawrenny Quay,2012-04-09,2012-04-11,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2012/0915,Milford Haven,B039H,Pembrokeshire CC,SN001086,Coedcanlas Spit,2012-04-09,2012-04-11,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2012/0916,Silloth,B059L,Allerdale BC,NY10055345,Lees Scar,2012-04-10,2012-04-11,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2012/0917,Holy Island - Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,2012-04-10,2012-04-11,Pacific oysters,Detected,<RL,,<RL,25,<RL,,<LOQ,
BTX/2012/0918,Morecambe Bay - East,B047A,Lancaster CC,SD44306530,Bare Ayre ,2012-04-10,2012-04-11,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2012/0919,North Kent Coast,B17AM,Canterbury CC,TR08206690,Pollard,2012-04-10,2012-04-11,Pacific oysters,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2012/0920,Portland,B025A,Weymouth PHA,SY66277626,Fleet Oyster Farm ,2012-04-11,2012-04-11,Pacific oysters,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2012/0948,The Wash,B003L,Boston BC,TF47604700,Wrangle,2012-04-10,2012-04-12,Cockles,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2012/0949,Blackwater,B014H,Maldon DC,TM050000,Ray Sands ,2012-04-11,2012-04-12,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2012/0950,Lune,B066A,Lancaster CC,SD42305430,Plover Scar,2012-04-11,2012-04-12,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2012/0951,Morecambe Bay - Barrow,B077B,Barrow-in-Furness BC,SD185706,Cocken Tunnel,2012-04-11,2012-04-12,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2012/0952,West Mersea,B013U,Colchester BC,TM03021211,Mersea Flats,2012-04-11,2012-04-12,Pacific oysters,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2012/0953,Poole,B54CL,Poole BC,SZ01818871,West Brownsea 1,2012-04-11,2012-04-12,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2012/0954,Morecambe Bay - Barrow,B077D,Barrow-in-Furness BC,SD233647,Roa Island,2012-04-11,2012-04-12,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2012/0955,The Wash,B003D,Boston BC,TF44443712,Maretail,2012-04-10,2012-04-12,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2012/0956,Helford,B034P,Cornwall PHA,SW77252652,Bosahan,2012-04-11,2012-04-12,Pacific oysters,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2012/0957,The Wash,B004H,Kings Lynn & West Norfolk BC,TF52172974,Breast Sand,2012-04-10,2012-04-12,Cockles,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2012/0963,Dee,B045Q,Wirral BC,SJ21038497,West Kirby,2012-04-12,2012-04-13,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2012/0948,The Wash,B003L,Boston BC,TF47604700,Wrangle,2012-04-10,2012-04-12,Cockles,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2012/0949,Blackwater,B014H,Maldon DC,TM050000,Ray Sands ,2012-04-11,2012-04-12,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2012/0950,Lune,B066A,Lancaster CC,SD42305430,Plover Scar,2012-04-11,2012-04-12,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2012/0951,Morecambe Bay - Barrow,B077B,Barrow-in-Furness BC,SD185706,Cocken Tunnel,2012-04-11,2012-04-12,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2012/0952,West Mersea,B013U,Colchester BC,TM03021211,Mersea Flats,2012-04-11,2012-04-12,Pacific oysters,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2012/0953,Poole,B54CL,Poole BC,SZ01818871,West Brownsea 1,2012-04-11,2012-04-12,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2012/0954,Morecambe Bay - Barrow,B077D,Barrow-in-Furness BC,SD233647,Roa Island,2012-04-11,2012-04-12,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2012/0955,The Wash,B003D,Boston BC,TF44443712,Maretail,2012-04-10,2012-04-12,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2012/0956,Helford,B034P,Cornwall PHA,SW77252652,Bosahan,2012-04-11,2012-04-12,Pacific oysters,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2012/0957,The Wash,B004H,Kings Lynn & West Norfolk BC,TF52172974,Breast Sand,2012-04-10,2012-04-12,Cockles,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2012/0992,Fowey,B070Z,Cornwall PHA,SX12595313,Wisemans,2012-04-16,2012-04-17,Mussels,ND,,,,,,,,
BTX/2012/0993,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill,2012-04-16,2012-04-17,Mussels,ND,,,,,,,,
BTX/2012/0994,St. Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,2012-04-16,2012-04-17,Mussels,,,,<RL,<RL,<RL,,,
BTX/2012/1023,Helford,B034P,Cornwall PHA,SW77252652,Bosahan,2012-04-17,2012-04-18,Pacific oysters,ND,,,,,,,,
BTX/2012/1024,Fal,B33BG,Cornwall PHA,SW82803517,Mylor Pool,2012-04-17,2012-04-18,Native oysters,ND,,,,,,,,
BTX/2012/1025,Fal,B033Z,Cornwall PHA,SW84073879,T Pontoon,2012-04-17,2012-04-18,Mussels,ND,,,,,,,,
BTX/2012/1026,Fal,B033Y,Cornwall PHA,SW85024095,R Pontoon/Tregothnan ,2012-04-17,2012-04-18,Mussels,ND,,,,,,,,
BTX/2012/1027,Deben,B010L,Suffolk Coastal DC,TM29834380,Girlings Hard,2012-04-17,2012-04-18,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2012/1036,Bigbury and Avon,B030B,South Hams DC,SX67174481,West Bank,2012-04-18,2012-04-19,Pacific oysters,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2012/1037,Yealm,B031L,Plymouth PHA,SX54224904,Thorn,2012-04-18,2012-04-19,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2012/1038,Taw/Torridge,B036N,Torridge DC,SS45953106,Appledore Lifeboat Slipway ,2012-04-18,2012-04-19,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2012/1039,Taw/Torridge,B036F,North Devon DC,SS47303210,Cool Stone - Instow ,2012-04-18,2012-04-19,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2012/1040,Burry Inlet,B038T,City and Council of Swansea,SS44409730,Whitford Point,2012-04-18,2012-04-19,Cockles,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2012/1041,Burry Inlet,B038I,City and Council of Swansea,SS50509590,South East 4,2012-04-18,2012-04-19,Cockles,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2012/1042,Burry Inlet,B038L,City and Council of Swansea,SS43409470,Whitford Point ,2012-04-18,2012-04-19,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2012/1049,West Mersea,B013D,Colchester BC,TL99101260,Salcott ,2012-04-19,2012-04-20,Native oysters,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2012/1071,Menai Strait - East,B055D,Gwynedd CC,SH57587302,Bangor ,2012-04-22,2012-04-24,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2012/1072,Camel,B035X,Cornwall CC,SW93427533,Porthilley Cove,2012-04-23,2012-04-24,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2012/1073,Menai Strait - West,B042F,Gwynedd CC,SH49906587,Llanfairisgaer,2012-04-23,2012-04-24,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2012/1074,Blackwater,B014D,Maldon DC,TL925077,Goldhanger ,2012-04-23,2012-04-24,Pacific oysters,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2012/1075,Three Rivers,B071D,Carmarthenshire CC,SN332086,Ginst Point - West,2012-04-23,2012-04-24,Cockles,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2012/1076,Three Rivers,B071E,Carmarthenshire CC,SN357073,St Ishmaels ,2012-04-23,2012-04-24,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2012/1077,Brancaster,B005F,Kings Lynn & West Norfolk BC,TF79364451,Loose-J,2012-04-23,2012-04-24,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2012/1078,Burry Inlet,B038B,Carmarthenshire CC,SS47449887,North (West),2012-04-23,2012-04-24,Cockles,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2012/1079,Holy Island - Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,2012-04-23,2012-04-24,Pacific oysters,ND,,,,,,,,
BTX/2012/1112,Chichester Harbour,B018E,Havant BC,SU74720067,Mill Rythe ,2012-04-24,2012-04-25,Native oysters,ND,,,<RL,<RL,<RL,,Not Tested - Lab error,
BTX/2012/1113,Walton Backwaters,B011R,Tendring DC,TM22142478,Kirby Creek ,2012-04-24,2012-04-25,Pacific oysters,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2012/1114,Colne,B012F,Colchester BC,TM06201600,Pyefleet Spit,2012-04-24,2012-04-25,Pacific Oysters,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2012/1115,Ribble,B046C,West Lancashire DC,SD33012588,Point 31,2012-04-24,2012-04-25,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2012/1116,Dart,B028F,South Hams DC,SX87415599,Waddeton ,2012-04-24,2012-04-25,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2012/1117,The Wash,B004O,Kings Lynn & West Norfolk BC,TF65803700,Heacham South,2012-04-24,2012-04-25,Cockles,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2012/1118,Start Bay,B087C,South Hams DC,SX82634290,Slapton Sands 2,2012-04-24,2012-04-25,Surf clams,ND,,,,,,NG,<LOQ,
BTX/2012/1132,Yealm,B031L,Plymouth PHA,SX54224904,Thorn,2012-04-25,2012-04-26,Mussels,Detected,<RL,,,,,,,
BTX/2012/1133,Milford Haven,B39CM,Pembrokeshire CC,SN010062,Lawrenny Quay,2012-04-24,2012-04-26,Mussels,ND,,,,,,,,
BTX/2012/1134,Milford Haven,B039H,Pembrokeshire CC,SN001086,Coedcanlas Spit,2012-04-24,2012-04-26,Mussels,ND,,,,,,,,
BTX/2012/1135,Milford Haven,B39CO,Pembrokeshire CC,SM88770325,Sawdern Point,2012-04-24,2012-04-26,Mussels,ND,,,,,,,,
BTX/2012/1136,Lune,B066G,Wyre BC,SD34004870,Knott Spit ,2012-04-25,2012-04-26,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2012/1137,Crouch,B015M,Maldon DC,TQ892973,Althorne Creek,2012-04-25,2012-04-26,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
